drug_name,smiles,MolWt,LogP,MolLogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,NumAromaticRings,FractionCSP3,MolMR,lipinski_MW,lipinski_LogP,lipinski_HBD,lipinski_HBA,lipinski_ROF,kmeans_cluster,dbscan_cluster,hierarchical_cluster,pca_1,pca_2,umap_1,umap_2
Temozolomide,CN1C(=O)N(C)C(=O)C2=C1N=CN2C(N)=O,223.192,-1.639499999999999,-1.639499999999999,1,7,104.91,0,2,0.25,55.19640000000001,True,True,True,True,True,4,-1,0,-2.6029130109036958,-2.0979368513261334,18.641027,6.8222632
Carmustine,ClCCNC(=O)N(CCCl)N=O,214.05199999999996,1.157,1.157,1,3,61.77,5,0,0.8,47.33970000000001,True,True,True,True,True,2,-1,4,-2.9219853993685163,-1.1443068554117548,17.667196,7.4867268
Lomustine,ClCCN(N=O)C(=O)NC1CCCCC1,233.69899999999996,2.250900000000001,2.250900000000001,1,3,61.77,4,0,0.8888888888888888,58.62570000000003,True,True,True,True,True,2,-1,4,-2.765538896598224,-0.74260249209349,17.949411,7.9323764
Bevacizumab,CC(C)CC1=CC=CC=C1,134.22199999999998,2.8851000000000013,2.8851000000000013,0,0,0.0,2,1,0.4,44.98400000000003,True,True,True,True,True,2,-1,0,-3.861894317723627,1.0777881802375946,17.941013,7.0881433
Erlotinib,COCCOC1=CC2=C(C=C1OCCOC)N=CN=C2NC3=CC=CC(=C3)C#C,393.443,3.405100000000002,3.405100000000002,1,7,74.73,10,3,0.2727272727272727,111.93970000000004,True,True,True,True,True,1,-1,2,0.15748881116941857,1.4374006998755513,18.819246,8.867595
Lapatinib,CS(=O)(=O)CCNCC1=CC=C(C=C1)OC2=C3C=C(C=CC3=NC=C2)Cl,390.89200000000005,3.814700000000002,3.814700000000002,1,5,68.29,7,3,0.2105263157894736,104.68650000000004,True,True,True,True,True,1,-1,2,-0.454041941289359,1.714760367836644,19.397823,8.399229
Afatinib,CN(C)C/C=C/C(=O)NC1=CC2=C(C=C1O[C@H]3CCOC3)N=CN=C2NC4=CC(=C(C=C4)F)Cl,485.9470000000001,4.389900000000003,4.389900000000003,2,7,88.61000000000001,8,3,0.2916666666666667,130.40640000000002,True,True,True,True,True,1,-1,2,0.697634252063497,1.5482164777962903,20.452532,8.683201
Dasatinib,CC1=C(C(=CC=C1)C)NC(=O)C2=CN=C(S2)NC3=NC=CC(=N3)N4CCN(CC4)CCO,453.57200000000034,2.6601400000000006,2.6601400000000006,3,9,106.51,7,3,0.3636363636363636,127.03670000000004,True,True,True,True,True,1,-1,2,0.7549581803829788,0.11020501993725305,18.81781,9.928194
Imatinib,CC1=C(C=CC(=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,493.61500000000024,4.590320000000003,4.590320000000003,2,7,86.28000000000002,7,4,0.2413793103448276,146.8938999999998,True,True,True,True,True,1,-1,2,0.9743819574547974,1.9412331286130748,20.015678,9.015582
Nilotinib,CC1=CN=C(C=C1NC(=O)C2=CC(=C(C=C2)C)C(F)(F)F)NC3=NC=C(C(=N3)C4=CN=CC=C4)C(F)(F)F,532.4480000000002,6.583940000000004,6.583940000000004,2,6,92.69,5,4,0.16,126.6559,False,False,True,True,False,1,-1,2,0.8676578812060571,2.9581715353528333,19.324615,9.498628
