,Dasatinib,Erlotinib,Imatinib,Etoposide,Sorafenib,Doxorubicin,Lapatinib,Nilotinib,Afatinib,Methotrexate,Gefitinib
Dasatinib,0.0,0.503575107102753,0.5470649318028522,0.38647408360726465,0.375,0.375,0.424391717546516,0.375,0.5048897976929185,0.5244990004823099,0.5247969444281135
Erlotinib,0.503575107102753,0.0,0.5181479331620213,0.4737242469081172,0.375,0.42264826618993767,0.49767112456651097,0.375,0.4837872794845648,0.5092242856820425,0.554197232974203
Imatinib,0.5470649318028522,0.5181479331620213,0.0,0.4388692104890023,0.375,0.375,0.5136594417119267,0.375,0.48006925019952984,0.5305230535212018,0.4910597543107386
Etoposide,0.38647408360726465,0.4737242469081172,0.4388692104890023,0.0,0.43643201935675835,0.5320588938700848,0.49648442974797,0.375,0.375,0.4178990140163859,0.4101668354311977
Sorafenib,0.375,0.375,0.375,0.43643201935675835,0.0,0.444347078514378,0.43552780991473805,0.5110710086403312,0.375,0.375,0.375
Doxorubicin,0.375,0.42264826618993767,0.375,0.5320588938700848,0.444347078514378,0.0,0.41172120780558197,0.375,0.375,0.375,0.41118640433681214
Lapatinib,0.424391717546516,0.49767112456651097,0.5136594417119267,0.49648442974797,0.43552780991473805,0.41172120780558197,0.0,0.375,0.3834753637157735,0.4817221893204583,0.4059279735156712
Nilotinib,0.375,0.375,0.375,0.375,0.5110710086403312,0.375,0.375,0.0,0.375,0.375,0.375
Afatinib,0.5048897976929185,0.4837872794845648,0.48006925019952984,0.375,0.375,0.375,0.3834753637157735,0.375,0.0,0.45688022284948526,0.591717889445657
Methotrexate,0.5244990004823099,0.5092242856820425,0.5305230535212018,0.4178990140163859,0.375,0.375,0.4817221893204583,0.375,0.45688022284948526,0.0,0.4661257680618402
Gefitinib,0.5247969444281135,0.554197232974203,0.4910597543107386,0.4101668354311977,0.375,0.41118640433681214,0.4059279735156712,0.375,0.591717889445657,0.4661257680618402,0.0
