Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,Prostate cancer,1.3430777580829433e-14,163.77777777777777,5231.263257357206,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",4.754495263613619e-12,0,0
2,Pathways in cancer,1.788792348380714e-13,62.42857142857143,1832.4075165483816,"['PDGFRB', 'PDGFRA', 'KIT', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",3.166162456633864e-11,0,0
3,Bladder cancer,2.2394005543933992e-12,237.42857142857142,6368.977004622332,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",2.642492654184211e-10,0,0
4,Focal adhesion,3.35913423263019e-11,58.53333333333333,1411.6339276931415,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'EGFR', 'VEGFA']",2.4623612439297758e-09,0,0
5,Glioma,3.477911361482734e-11,144.7046004842615,3484.7767811107537,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",2.4623612439297758e-09,0,0
6,Pancreatic cancer,5.504252615853128e-11,133.36607142857142,3150.4953727860807,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",3.0387024049367394e-09,0,0
7,Melanoma,6.008733569083948e-11,131.30769230769232,3090.35569102909,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",3.0387024049367394e-09,0,0
8,Gap junction pathway,2.5825572427481947e-10,101.51020408163265,2241.0479667510067,"['PDGFRB', 'PDGFRA', 'TUBB3', 'TUBB', 'RAF1', 'EGFR']",1.1427815799160761e-08,0,0
9,ERBB signaling pathway,3.3692044189210716e-10,96.87662337662337,2112.9929171831873,"['ERBB4', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.3252204047756216e-08,0,0
10,Endometrial cancer,1.4676884193687116e-09,141.36879432624113,2875.381502712512,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",5.195617004565239e-08,0,0
11,Non-small cell lung cancer,1.7837089378996073e-09,135.58503401360545,2731.3023398180844,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",5.740299672876918e-08,0,0
12,ERK1/ERK2 MAPK pathway,4.626818697131681e-09,110.66666666666667,2123.847858468808,"['PDGFRA', 'ERBB4', 'BRAF', 'RAF1', 'EGFR']",1.3649115156538459e-07,0,0
13,SHC1 events in ERBB2 signaling,9.071807458073338e-09,237.60714285714286,4400.0314810952395,"['ERBB4', 'ERBB2', 'RAF1', 'EGFR']",2.470322953967663e-07,0,0
14,ERBB2 role in signal transduction and oncology,1.0714393083655393e-08,226.79545454545453,4162.077119974219,"['ERBB4', 'ERBB2', 'RAF1', 'EGFR']",2.709210822581435e-07,0,0
15,Melanocyte development and pigmentation pathway,2.4298488113208605e-07,352.4117647058824,5367.325134065376,"['KIT', 'BCL2', 'RAF1']",5.734443194717231e-06,0,0
16,SHP2 signaling,2.775436134392947e-07,93.99528301886792,1419.0738349313747,"['PDGFRB', 'RAF1', 'EGFR', 'VEGFA']",6.1406524473443955e-06,0,0
17,Integrated breast cancer pathway,3.356049053084071e-07,44.97278911564626,670.4242644001763,"['BCL2', 'BRAF', 'TP53', 'EGFR', 'VEGFA']",6.988478616422124e-06,0,0
18,Colorectal cancer,3.9070339827831715e-07,85.87068965517241,1267.049258635036,"['BCL2', 'BRAF', 'RAF1', 'TP53']",7.683833499473572e-06,0,0
19,MAPK signaling pathway,4.5973029791256796e-07,27.37291280148423,399.44267434261275,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",8.565501340055214e-06,0,0
20,Calcium signaling pathway,7.343062544159905e-07,38.163776493256265,539.0381417083969,"['PDGFRB', 'PDGFRA', 'ERBB4', 'ERBB2', 'EGFR']",1.2997220703163032e-05,0,0
21,"Telomeres, telomerase, cellular aging, and immortality",8.201294722166984e-07,220.19117647058823,3085.7159050798964,"['BCL2', 'TP53', 'EGFR']",1.382503967451006e-05,0,0
22,Actin cytoskeleton regulation,2.3795112652962815e-06,29.80241327300151,385.89998871815897,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'EGFR']",3.8288499450676526e-05,0,0
23,Senescence and autophagy,2.574757451517255e-06,52.328947368421055,673.4607436497288,"['BCL2', 'BRAF', 'RAF1', 'TP53']",3.962887555813514e-05,0,0
24,Signaling by ERBB2,2.901041852278447e-06,50.71938775510204,646.6945421627448,"['ERBB4', 'ERBB2', 'RAF1', 'EGFR']",4.279036732110709e-05,0,0
