Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,peptidyl-tyrosine modification (GO:0018212),1.3745067551218581e-11,170.82857142857142,4272.480837589949,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",8.989274178496952e-09,0,0
2,peptidyl-tyrosine phosphorylation (GO:0018108),5.035477610613548e-11,135.48979591836735,3212.724237201057,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",1.64660117867063e-08,0,0
3,positive regulation of MAPK cascade (GO:0043410),1.223974218609636e-10,49.40852130325815,1127.6876298559696,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR', 'VEGFA']",2.6682637965690062e-08,0,0
4,MAPK cascade (GO:0000165),2.7217286720263085e-10,44.48587570621469,979.7828934182909,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'RAF1', 'EGFR']",4.406919379948762e-08,0,0
5,regulation of kinase activity (GO:0043549),3.3692044189210716e-10,96.87662337662337,2112.9929171831873,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",4.406919379948762e-08,0,0
6,regulation of cell population proliferation (GO:0042127),8.14844611020163e-10,25.49867374005305,533.6368478962873,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BCL2', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",8.705492715517517e-08,0,0
7,positive regulation of intracellular signal transduction (GO:1902533),1.0134140298788316e-09,29.623666835957337,613.5043917429264,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BCL2', 'TP53', 'EGFR', 'VEGFA']",8.705492715517517e-08,0,0
8,positive regulation of kinase activity (GO:0033674),1.0903803604019397e-09,78.85714285714286,1627.354294912486,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",8.705492715517517e-08,0,0
9,regulation of cellular component movement (GO:0051270),1.1980035847042454e-09,147.66666666666666,3033.4586466141805,"['ERBB4', 'ERBB2', 'RAF1', 'EGFR', 'VEGFA']",8.705492715517517e-08,0,0
10,positive regulation of phosphorylation (GO:0042327),3.2136330109800405e-09,43.19512195121951,844.7179200032352,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR', 'VEGFA']",2.1017159891809465e-07,0,0
11,enzyme linked receptor protein signaling pathway (GO:0007167),3.776203244824349e-09,63.47334754797441,1231.0368073300724,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",2.2451244746501127e-07,0,0
12,positive regulation of transferase activity (GO:0051347),5.276506232906306e-09,59.87323943661972,1141.184042845609,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",2.875695896933937e-07,0,0
13,positive regulation of MAP kinase activity (GO:0043406),6.279593864715395e-09,103.72916666666667,1959.0249474537666,"['PDGFRB', 'KIT', 'ERBB2', 'EGFR', 'VEGFA']",3.159118759633745e-07,0,0
