Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,transmembrane receptor protein kinase activity (GO:0019199),2.114314725778569e-11,158.14285714285714,3887.1048190736688,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",8.034395957958561e-10,0,0
2,transmembrane receptor protein tyrosine kinase activity (GO:0004714),2.114314725778569e-11,158.14285714285714,3887.1048190736688,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",8.034395957958561e-10,0,0
3,protein tyrosine kinase activity (GO:0004713),7.851895241277223e-10,83.52100840336135,1751.025958798751,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",1.9891467944568966e-08,0,0
4,platelet-derived growth factor receptor binding (GO:0005161),2.4298488113208605e-07,352.4117647058824,5367.325134065376,"['PDGFRB', 'PDGFRA', 'VEGFA']",4.616712741509635e-06,0,0
5,protein heterodimerization activity (GO:0046982),9.61965910292604e-07,36.060109289617486,499.5870969741141,"['TOP2A', 'TOP2B', 'ERBB2', 'BCL2', 'TP53']",1.462188183644758e-05,0,0
6,growth factor receptor binding (GO:0070851),3.257034782011995e-06,49.20544554455446,621.6957157320727,"['PDGFRB', 'PDGFRA', 'ERBB4', 'VEGFA']",4.1255773905485266e-05,0,0
7,protein homodimerization activity (GO:0042803),2.6736529631754238e-05,13.16326530612245,138.60233583512428,"['TOP2A', 'PDGFRA', 'ERBB4', 'KIT', 'BCL2', 'VEGFA']",0.0002902823217161889,0,0
8,platelet-derived growth factor binding (GO:0048407),5.196871583395421e-05,246.55555555555554,2432.2381677726335,"['PDGFRB', 'PDGFRA']",0.000493702800422565,0,0
9,histone deacetylase binding (GO:0042826),0.00010477271693988004,39.0,357.3849690260219,"['TOP2A', 'TOP2B', 'TP53']",0.0008847473874923204,0,0
10,ubiquitin protein ligase binding (GO:0031625),0.00012350216140739027,18.887931034482758,169.97724926377555,"['TUBB', 'BCL2', 'TP53', 'EGFR']",0.000938616426696166,0,0
11,ubiquitin-like protein ligase binding (GO:0044389),0.000156870264629672,17.717625899280577,155.20802287396413,"['TUBB', 'BCL2', 'TP53', 'EGFR']",0.001083830919259552,0,0
12,phosphatase binding (GO:0019902),0.00019156866854517246,31.58823529411765,270.4036407129932,"['ERBB2', 'TP53', 'EGFR']",0.0012132682341194254,0,0
13,protein phosphatase binding (GO:0019903),0.00023970783029859157,29.205882352941178,243.46285652146054,"['ERBB2', 'TP53', 'EGFR']",0.0014013688540533045,0,0
14,protein kinase C binding (GO:0005080),0.0009165786855226654,51.51679586563308,360.3529107334306,"['TOP2A', 'TOP2B']",0.004975712864265898,0,0
15,protein kinase binding (GO:0019901),0.0014211618816635622,9.700199203187251,63.597227031453805,"['PDGFRB', 'TOP2A', 'TOP2B', 'TP53']",0.007200553533762049,0,0
16,protein serine/threonine kinase activity (GO:0004674),0.0046276343521876795,10.16336035880628,54.63527263467614,"['BRAF', 'RAF1', 'EGFR']",0.021981263172891476,0,0
17,ErbB-3 class receptor binding (GO:0043125),0.00499044069595166,262.8421052631579,1393.123889480945,['ERBB2'],0.022141106540663653,0,0
18,BH domain binding (GO:0051400),0.0059856908667451705,210.26315789473685,1076.2074808846232,['BCL2'],0.022141106540663653,0,0
19,BH3 domain binding (GO:0051434),0.0059856908667451705,210.26315789473685,1076.2074808846232,['BCL2'],0.022141106540663653,0,0
20,DNA-methyltransferase activity (GO:0009008),0.0059856908667451705,210.26315789473685,1076.2074808846232,['MGMT'],0.022141106540663653,0,0
21,protease binding (GO:0002020),0.00611793733360443,19.026819923371647,96.97076380041771,"['BCL2', 'TP53']",0.022141106540663653,0,0
22,S-methyltransferase activity (GO:0008172),0.006979995894180786,175.21052631578948,869.8689177892479,['MGMT'],0.023064334259032163,0,0
23,vascular endothelial growth factor-activated receptor activity (GO:0005021),0.006979995894180786,175.21052631578948,869.8689177892479,['PDGFRA'],0.023064334259032163,0,0
24,DNA binding (GO:0003677),0.007736434148404238,5.939591078066915,28.877189444611147,"['TOP2A', 'BCL2', 'TP53', 'EGFR']",0.024239003803330945,0,0
25,vascular endothelial growth factor receptor 2 binding (GO:0043184),0.0079733565142536,150.17293233082708,725.5830081396662,['VEGFA'],0.024239003803330945,0,0
26,kinase binding (GO:0019900),0.010361157462802587,7.521962496789109,34.37304676240514,"['PDGFRB', 'TP53', 'EGFR']",0.02971540205060909,0,0
27,MAP kinase kinase kinase activity (GO:0004709),0.010947779702855981,105.10526315789474,474.5101770765117,['EGFR'],0.02971540205060909,0,0
28,death domain binding (GO:0070513),0.010947779702855981,105.10526315789474,474.5101770765117,['BCL2'],0.02971540205060909,0,0
29,vascular endothelial growth factor receptor binding (GO:0005172),0.011937370540334344,95.54545454545455,423.0830518492731,['VEGFA'],0.03128414348501414,0,0
30,small GTPase binding (GO:0031267),0.013042188467895545,12.721258831085422,55.20474114640941,"['BRAF', 'RAF1']",0.03304021078533538,0,0
31,GTP binding (GO:0005525),0.015092434491098544,11.760546642899584,49.31857782921134,"['TUBB3', 'TUBB']",0.0370008071394674,0,0
32,"DNA binding, bending (GO:0008301)",0.015886337864689626,70.05263157894737,290.1787210723924,['TOP2A'],0.03773005242863786,0,0
33,MHC class I protein binding (GO:0042288),0.016871234817272356,65.67105263157895,268.0787715603985,['TUBB'],0.03789624225228189,0,0
34,GTPase binding (GO:0051020),0.016953582060231374,11.04466778336125,45.032160388623055,"['BRAF', 'RAF1']",0.03789624225228189,0,0
35,DNA-binding transcription factor binding (GO:0140297),0.018082522408633755,10.665587918015103,42.798971667221224,"['BCL2', 'TP53']",0.039181358635009524,0,0
36,transcription regulatory region nucleic acid binding (GO:0001067),0.018741724429248638,10.46031746031746,41.6007137926925,"['ERBB4', 'TP53']",0.039181358635009524,0,0
37,guanyl ribonucleotide binding (GO:0032561),0.019075135124938847,10.360587002096436,41.021393400336976,"['TUBB3', 'TUBB']",0.039181358635009524,0,0
38,histone acetyltransferase binding (GO:0035035),0.020801468010995312,52.526315789473685,203.4203291515269,['TP53'],0.041602936021990625,0,0
39,disordered domain specific binding (GO:0097718),0.02276098349039011,47.74641148325359,180.61070687273846,['TP53'],0.044354737058196106,0,0
40,protein phosphatase 2A binding (GO:0051721),0.023739343866497245,45.66819221967963,170.827422984315,['TP53'],0.04510475334634476,0,0
41,epidermal growth factor receptor binding (GO:0005154),0.025693274055310834,42.01052631578948,153.82263569148483,['ERBB4'],0.04762655678545423,0,0
