Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
1,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,1.0731023046678136e-10,118.5,2720.202709468789,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",2.6720247386228558e-08,0,0
2,TFAP2 (AP-2) Family Regulates Transcription Of Growth Factors And Their Receptors R-HSA-8866910,5.166823063302325e-10,554.75,11862.548175046626,"['ERBB2', 'KIT', 'EGFR', 'VEGFA']",4.3626461033823694e-08,0,0
3,PI3K/AKT Signaling In Cancer R-HSA-2219528,6.615547648778985e-10,86.06493506493507,1819.105333177958,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",4.3626461033823694e-08,0,0
4,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",7.008266832742762e-10,85.2,1795.9103947348515,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",4.3626461033823694e-08,0,0
5,Negative Regulation Of PI3K/AKT Network R-HSA-199418,1.033613265567349e-09,79.59813084112149,1646.9016565517954,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",5.1473940625253975e-08,0,0
6,PIP3 Activates AKT Signaling R-HSA-1257604,4.7908265257254194e-09,40.681697612732094,779.3214987115673,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'TP53', 'EGFR']",1.8407225574358315e-07,0,0
7,RAF/MAP Kinase Cascade R-HSA-5673001,5.1747220490163945e-09,40.21328671328671,767.2486080080157,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",1.8407225574358315e-07,0,0
8,MAPK1/MAPK3 Signaling R-HSA-5684996,6.021507581958403e-09,39.30769230769231,744.0131769247231,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",1.8741942348845528e-07,0,0
9,Intracellular Signaling By Second Messengers R-HSA-9006925,1.1976491937014746e-08,35.44301517880113,646.4919426584594,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'TP53', 'EGFR']",3.2644120008210456e-07,0,0
10,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,1.3110088356711028e-08,26.628415300546447,483.30264347110864,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR', 'VEGFA']",3.2644120008210456e-07,0,0
11,MAPK Family Signaling Cascades R-HSA-5683057,1.5610397361678714e-08,34.054662379421224,612.1437482381131,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",3.533626311870909e-07,0,0
12,Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,4.194753512885026e-08,155.84375,2647.293806733271,"['KIT', 'ERBB2', 'EGFR', 'VEGFA']",8.704113539236429e-07,0,0
13,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,1.1187094683620841e-07,25.2612064194798,404.328846285171,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",2.142758904785838e-06,0,0
14,ERBB2 Activates PTK6 Signaling R-HSA-8847993,2.4298488113208605e-07,352.4117647058824,5367.325134065376,"['ERBB4', 'ERBB2', 'EGFR']",4.32165967156353e-06,0,0
15,GRB2 Events In ERBB2 Signaling R-HSA-1963640,3.860766238294748e-07,293.6470588235294,4336.353650553984,"['ERBB4', 'ERBB2', 'EGFR']",6.008317458346202e-06,0,0
16,ERBB2 Regulates Cell Motility R-HSA-6785631,3.860766238294748e-07,293.6470588235294,4336.353650553984,"['ERBB4', 'ERBB2', 'EGFR']",6.008317458346202e-06,0,0
17,PI3K Events In ERBB2 Signaling R-HSA-1963642,4.7486963850838756e-07,271.0452488687783,3946.479948522122,"['ERBB4', 'ERBB2', 'EGFR']",6.9554435287405e-06,0,0
18,SHC1 Events In ERBB2 Signaling R-HSA-1250196,1.1242376339211233e-06,195.7058823529412,2680.8585177409204,"['ERBB4', 'ERBB2', 'EGFR']",1.4733430044545248e-05,0,0
19,Signaling By ERBB2 TMD/JMD Mutants R-HSA-9665686,1.1242376339211233e-06,195.7058823529412,2680.8585177409204,"['ERBB4', 'ERBB2', 'EGFR']",1.4733430044545248e-05,0,0
20,Signaling By ERBB2 KD Mutants R-HSA-9664565,1.7076087361357007e-06,167.72268907563026,2227.4271785014485,"['ERBB4', 'ERBB2', 'EGFR']",2.1259728764889473e-05,0,0
21,Disease R-HSA-1643685,1.9390283637265773e-06,10.575898030127462,139.10820866218765,"['PDGFRB', 'PDGFRA', 'ERBB4', 'TUBB', 'KIT', 'ERBB2', 'BRAF', 'TP53', 'EGFR', 'VEGFA']",2.19485621879427e-05,0,0
22,Signaling By ERBB2 In Cancer R-HSA-1227990,1.939230394115419e-06,160.0909090909091,2105.7108460410223,"['ERBB4', 'ERBB2', 'EGFR']",2.19485621879427e-05,0,0
23,Downregulation Of ERBB2 Signaling R-HSA-8863795,3.073014844063308e-06,135.4343891402715,1719.0485818135055,"['ERBB4', 'ERBB2', 'EGFR']",3.326872592051147e-05,0,0
24,Signaling By ERBB2 R-HSA-1227986,1.5298489183805048e-05,76.47314578005115,847.9156177144885,"['ERBB4', 'ERBB2', 'EGFR']",0.00015872182528197737,0,0
25,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,1.831583965346457e-05,71.78031212484994,782.9612916996459,"['ERBB4', 'ERBB2', 'EGFR']",0.0001824257629485071,0,0
26,Signal Transduction R-HSA-162582,4.528192206219099e-05,7.138492871690428,71.40350790526291,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BCL2', 'BRAF', 'TP53', 'EGFR', 'VEGFA']",0.0004336614843648291,0,0
27,Chaperonin-mediated Protein Folding R-HSA-390466,9.503457079054536e-05,40.350912778904664,373.70069111213724,"['TUBB3', 'TUBB', 'TP53']",0.0008764299306239183,0,0
28,Signaling By ERBB2 ECD Mutants R-HSA-9665348,9.897575036981038e-05,170.65811965811966,1573.5763478145914,"['ERBB2', 'EGFR']",0.0008801772086458136,0,0
29,Protein Folding R-HSA-391251,0.00011514055840279769,37.73624288425047,342.2434558750413,"['TUBB3', 'TUBB', 'TP53']",0.000988620656630918,0,0
30,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,0.00015883263691889363,33.7262443438914,295.0257020076404,"['BCL2', 'TP53', 'VEGFA']",0.0013183108864268172,0,0
31,Post-chaperonin Tubulin Folding Pathway R-HSA-389977,0.00023734441315945642,105.60317460317461,881.3639106067293,"['TUBB3', 'TUBB']",0.001906411576667892,0,0
32,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,0.00025876610708752327,100.79797979797979,832.5495793111635,"['BCL2', 'EGFR']",0.0020135237707747905,0,0
33,Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,0.00030434158117427734,92.38888888888889,748.1060808668657,"['TUBB3', 'TUBB']",0.002296395567042275,0,0
34,Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,0.0003535487787187227,85.27350427350427,677.710245242856,"['TUBB3', 'TUBB']",0.0025152470257417702,0,0
35,Downstream Signal Transduction R-HSA-186763,0.0003535487787187227,85.27350427350427,677.710245242856,"['PDGFRB', 'PDGFRA']",0.0025152470257417702,0,0
36,Activation Of BH3-only Proteins R-HSA-114452,0.00040637445946356223,79.17460317460318,618.2139479571657,"['BCL2', 'TP53']",0.0028107566779563054,0,0
37,Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,0.00043414010265241555,76.44061302681992,591.8141768431133,"['TUBB3', 'TUBB']",0.0029216455556878777,0,0
38,Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,0.0004923687563769557,71.50179211469533,544.5778563946176,"['TUBB3', 'TUBB']",0.0032263110615226836,0,0
39,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,0.0005974614723930946,21.192513368983956,157.30822814075722,"['TOP2A', 'TOP2B', 'TP53']",0.003814561708355912,0,0
40,SUMOylation R-HSA-2990846,0.0006616665494226945,20.442724458204335,149.6560511738449,"['TOP2A', 'TOP2B', 'TP53']",0.004118874270156273,0,0
41,Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,0.0007610076105649785,56.81196581196581,407.9591818331578,"['TUBB3', 'TUBB']",0.004621729147089747,0,0
