Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library,Keyword
4,PI3K-Akt signaling pathway,4.1973975336346863e-13,57.08139534883721,1626.7707636653156,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BCL2', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",1.290699741592666e-11,0,0,KEGG_2021_Human,PI3K
9,Glioma,8.427770578936646e-11,123.67080745341615,2868.779817015559,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.1247936410492717e-09,0,0,KEGG_2021_Human,glioma
5,Glioma,3.477911361482734e-11,144.7046004842615,3484.7767811107537,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",2.4623612439297758e-09,0,0,BioPlanet_2019,glioma
1,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,1.0731023046678136e-10,118.5,2720.202709468789,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",2.6720247386228558e-08,0,0,Reactome_2022,PI3K
4,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",7.008266832742762e-10,85.2,1795.9103947348515,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",4.3626461033823694e-08,0,0,Reactome_2022,PI3K
3,PI3K/AKT Signaling In Cancer R-HSA-2219528,6.615547648778985e-10,86.06493506493507,1819.105333177958,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",4.3626461033823694e-08,0,0,Reactome_2022,PI3K
5,Negative Regulation Of PI3K/AKT Network R-HSA-199418,1.033613265567349e-09,79.59813084112149,1646.9016565517954,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",5.1473940625253975e-08,0,0,Reactome_2022,PI3K
7,RAF/MAP Kinase Cascade R-HSA-5673001,5.1747220490163945e-09,40.21328671328671,767.2486080080157,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR']",1.8407225574358315e-07,0,0,Reactome_2022,RAF
6,PIP3 Activates AKT Signaling R-HSA-1257604,4.7908265257254194e-09,40.681697612732094,779.3214987115673,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'TP53', 'EGFR']",1.8407225574358315e-07,0,0,Reactome_2022,AKT
12,positive regulation of transferase activity (GO:0051347),5.276506232906306e-09,59.87323943661972,1141.184042845609,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",2.875695896933937e-07,0,0,GO_Biological_Process_2021,RAS
10,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,1.3110088356711028e-08,26.628415300546447,483.30264347110864,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'EGFR', 'VEGFA']",3.2644120008210456e-07,0,0,Reactome_2022,receptor tyrosine kinase
21,Ras signaling pathway,7.726174224705244e-08,37.46017699115044,613.4503655988116,"['PDGFRB', 'PDGFRA', 'KIT', 'RAF1', 'EGFR', 'VEGFA']",4.5253306173273573e-07,0,0,KEGG_2021_Human,RAS
17,PI3K Events In ERBB2 Signaling R-HSA-1963642,4.7486963850838756e-07,271.0452488687783,3946.479948522122,"['ERBB4', 'ERBB2', 'EGFR']",6.9554435287405e-06,0,0,Reactome_2022,PI3K
21,"Telomeres, telomerase, cellular aging, and immortality",8.201294722166984e-07,220.19117647058823,3085.7159050798964,"['BCL2', 'TP53', 'EGFR']",1.382503967451006e-05,0,0,BioPlanet_2019,RAS
