Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value,Library
1,Prostate cancer,2.7366468451536936e-14,148.99625468164794,4653.072264341102,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",3.366075619539043e-12,0,0,KEGG_2021_Human
2,MAPK signaling pathway,6.56017609395326e-14,69.35211267605634,2105.1954375439004,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",4.0345082977812546e-12,0,0,KEGG_2021_Human
1,Prostate cancer,1.3430777580829433e-14,163.77777777777777,5231.263257357206,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",4.754495263613619e-12,0,0,BioPlanet_2019
3,Central carbon metabolism in cancer,3.532392944006953e-13,170.23076923076923,4880.793745726091,"['PDGFRB', 'PDGFRA', 'KIT', 'ERBB2', 'RAF1', 'TP53', 'EGFR']",1.290699741592666e-11,0,0,KEGG_2021_Human
4,PI3K-Akt signaling pathway,4.1973975336346863e-13,57.08139534883721,1626.7707636653156,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'BCL2', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",1.290699741592666e-11,0,0,KEGG_2021_Human
2,Pathways in cancer,1.788792348380714e-13,62.42857142857143,1832.4075165483816,"['PDGFRB', 'PDGFRA', 'KIT', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",3.166162456633864e-11,0,0,BioPlanet_2019
5,Bladder cancer,1.9206326372036096e-12,244.22448979591837,6588.777790477368,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",4.72475628752088e-11,0,0,KEGG_2021_Human
6,Focal adhesion,1.027794842437389e-11,68.34887737478411,1729.2963438817121,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'EGFR', 'VEGFA']",2.1069794269966474e-10,0,0,KEGG_2021_Human
3,Bladder cancer,2.2394005543933992e-12,237.42857142857142,6368.977004622332,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",2.642492654184211e-10,0,0,BioPlanet_2019
7,Pathways in cancer,2.328122708035283e-11,37.34932821497121,914.437563298962,"['PDGFRB', 'PDGFRA', 'KIT', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",4.090844186976283e-10,0,0,KEGG_2021_Human
2,transmembrane receptor protein tyrosine kinase activity (GO:0004714),2.114314725778569e-11,158.14285714285714,3887.1048190736688,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",8.034395957958561e-10,0,0,GO_Molecular_Function_2021
1,transmembrane receptor protein kinase activity (GO:0019199),2.114314725778569e-11,158.14285714285714,3887.1048190736688,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",8.034395957958561e-10,0,0,GO_Molecular_Function_2021
8,Melanoma,6.551052542545605e-11,129.3116883116883,3032.205247846783,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.0072243284163867e-09,0,0,KEGG_2021_Human
9,Glioma,8.427770578936646e-11,123.67080745341615,2868.779817015559,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.1247936410492717e-09,0,0,KEGG_2021_Human
10,Pancreatic cancer,9.144663748368062e-11,121.89795918367346,2817.7036917396945,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",1.1247936410492717e-09,0,0,KEGG_2021_Human
4,Focal adhesion,3.35913423263019e-11,58.53333333333333,1411.6339276931415,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'BRAF', 'RAF1', 'EGFR', 'VEGFA']",2.4623612439297758e-09,0,0,BioPlanet_2019
5,Glioma,3.477911361482734e-11,144.7046004842615,3484.7767811107537,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",2.4623612439297758e-09,0,0,BioPlanet_2019
11,Gap junction,2.250589943154598e-10,103.99651567944251,2310.2470863264834,"['PDGFRB', 'PDGFRA', 'TUBB3', 'TUBB', 'RAF1', 'EGFR']",2.5165687546183232e-09,0,0,KEGG_2021_Human
6,Pancreatic cancer,5.504252615853128e-11,133.36607142857142,3150.4953727860807,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",3.0387024049367394e-09,0,0,BioPlanet_2019
7,Melanoma,6.008733569083948e-11,131.30769230769232,3090.35569102909,"['PDGFRB', 'PDGFRA', 'BRAF', 'RAF1', 'TP53', 'EGFR']",3.0387024049367394e-09,0,0,BioPlanet_2019
12,MicroRNAs in cancer,3.2619638568865076e-10,43.439293598233995,948.8671439119597,"['PDGFRB', 'PDGFRA', 'ERBB2', 'BCL2', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",3.3435129533086702e-09,0,0,KEGG_2021_Human
13,Proteoglycans in cancer,7.426240240408198e-10,53.7972027972028,1130.8619202940029,"['ERBB4', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR', 'VEGFA']",7.02636576592468e-09,0,0,KEGG_2021_Human
14,Rap1 signaling pathway,8.787509342312632e-10,52.45888594164456,1093.8999477994626,"['PDGFRB', 'PDGFRA', 'KIT', 'BRAF', 'RAF1', 'EGFR', 'VEGFA']",7.720454636460384e-09,0,0,KEGG_2021_Human
1,peptidyl-tyrosine modification (GO:0018212),1.3745067551218581e-11,170.82857142857142,4272.480837589949,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",8.989274178496952e-09,0,0,GO_Biological_Process_2021
8,Gap junction pathway,2.5825572427481947e-10,101.51020408163265,2241.0479667510067,"['PDGFRB', 'PDGFRA', 'TUBB3', 'TUBB', 'RAF1', 'EGFR']",1.1427815799160761e-08,0,0,BioPlanet_2019
9,ERBB signaling pathway,3.3692044189210716e-10,96.87662337662337,2112.9929171831873,"['ERBB4', 'ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",1.3252204047756216e-08,0,0,BioPlanet_2019
2,peptidyl-tyrosine phosphorylation (GO:0018108),5.035477610613548e-11,135.48979591836735,3212.724237201057,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",1.64660117867063e-08,0,0,GO_Biological_Process_2021
3,protein tyrosine kinase activity (GO:0004713),7.851895241277223e-10,83.52100840336135,1751.025958798751,"['PDGFRB', 'PDGFRA', 'ERBB4', 'KIT', 'ERBB2', 'EGFR']",1.9891467944568966e-08,0,0,GO_Molecular_Function_2021
15,Endometrial cancer,2.5779439641259833e-09,125.32704402515724,2478.5019207490727,"['ERBB2', 'BRAF', 'RAF1', 'TP53', 'EGFR']",2.113914050583306e-08,0,0,KEGG_2021_Human
