,Temozolomide,Carmustine,Lomustine,Bevacizumab,Erlotinib,Gefitinib,Lapatinib,Afatinib,Dasatinib,Imatinib,Nilotinib,Sorafenib,Paclitaxel,Docetaxel,Cisplatin,Carboplatin,Etoposide,Doxorubicin,Vincristine,Methotrexate
Temozolomide,1.0,0.05660377358490566,0.05172413793103448,0.06666666666666667,0.0684931506849315,0.08333333333333333,0.08108108108108109,0.08247422680412371,0.12658227848101267,0.11627906976744186,0.0963855421686747,0.10810810810810811,0.08490566037735849,0.08411214953271028,0.0,0.10416666666666667,0.07894736842105263,0.0967741935483871,0.08403361344537816,0.12658227848101267
Carmustine,0.05660377358490566,1.0,0.5277777777777778,0.024390243902439025,0.02857142857142857,0.036585365853658534,0.08823529411764706,0.07608695652173914,0.07792207792207792,0.07142857142857142,0.04938271604938271,0.08571428571428572,0.0380952380952381,0.03773584905660377,0.034482758620689655,0.06818181818181818,0.02702702702702703,0.043478260869565216,0.0423728813559322,0.07792207792207792
Lomustine,0.05172413793103448,0.5277777777777778,1.0,0.021739130434782608,0.02666666666666667,0.046511627906976744,0.06756756756756757,0.10638297872340426,0.08641975308641975,0.07954545454545454,0.046511627906976744,0.08,0.05555555555555555,0.05504587155963303,0.029411764705882353,0.13043478260869565,0.05194805194805195,0.06315789473684211,0.05785123966942149,0.07317073170731707
Bevacizumab,0.06666666666666667,0.024390243902439025,0.021739130434782608,1.0,0.10344827586206896,0.06944444444444445,0.1,0.05813953488372093,0.08695652173913043,0.09333333333333334,0.06944444444444445,0.0625,0.08602150537634409,0.0851063829787234,0.0,0.05405405405405406,0.0625,0.07317073170731707,0.07476635514018691,0.11940298507462686
Erlotinib,0.0684931506849315,0.02857142857142857,0.02666666666666667,0.10344827586206896,1.0,0.40789473684210525,0.1566265060240964,0.2736842105263158,0.12903225806451613,0.13131313131313133,0.11458333333333333,0.12643678160919541,0.06504065040650407,0.056,0.0,0.014705882352941176,0.08888888888888889,0.102803738317757,0.09848484848484848,0.09375
Gefitinib,0.08333333333333333,0.036585365853658534,0.046511627906976744,0.06944444444444445,0.40789473684210525,1.0,0.17204301075268819,0.44086021505376344,0.1568627450980392,0.16822429906542055,0.09090909090909091,0.15625,0.06666666666666667,0.0661764705882353,0.015625,0.05128205128205128,0.12121212121212122,0.11016949152542373,0.11267605633802817,0.07272727272727272
Lapatinib,0.08108108108108109,0.08823529411764706,0.06756756756756757,0.1,0.1566265060240964,0.17204301075268819,1.0,0.17142857142857143,0.11458333333333333,0.15151515151515152,0.10101010101010101,0.2345679012345679,0.08130081300813008,0.08064516129032258,0.018867924528301886,0.028985507246376812,0.1111111111111111,0.08108108108108109,0.10526315789473684,0.11458333333333333
Afatinib,0.08247422680412371,0.07608695652173914,0.10638297872340426,0.05813953488372093,0.2736842105263158,0.44086021505376344,0.17142857142857143,1.0,0.11864406779661017,0.15833333333333333,0.13559322033898305,0.1792452830188679,0.09722222222222222,0.09655172413793103,0.01282051282051282,0.10344827586206896,0.11607142857142858,0.09848484848484848,0.10967741935483871,0.1092436974789916
Dasatinib,0.12658227848101267,0.07792207792207792,0.08641975308641975,0.08695652173913043,0.12903225806451613,0.1568627450980392,0.11458333333333333,0.11864406779661017,1.0,0.3225806451612903,0.24210526315789474,0.1595744680851064,0.109375,0.1,0.0,0.06666666666666667,0.06862745098039216,0.11206896551724138,0.09859154929577464,0.13725490196078433
Imatinib,0.11627906976744186,0.07142857142857142,0.07954545454545454,0.09333333333333334,0.13131313131313133,0.16822429906542055,0.15151515151515152,0.15833333333333333,0.3225806451612903,1.0,0.358695652173913,0.1958762886597938,0.13740458015267176,0.1111111111111111,0.014492753623188406,0.06097560975609756,0.07407407407407407,0.088,0.10884353741496598,0.17142857142857143
Nilotinib,0.0963855421686747,0.04938271604938271,0.046511627906976744,0.06944444444444445,0.11458333333333333,0.09090909090909091,0.10101010101010101,0.13559322033898305,0.24210526315789474,0.358695652173913,1.0,0.21978021978021978,0.11627906976744186,0.10687022900763359,0.0,0.05128205128205128,0.07766990291262135,0.07377049180327869,0.0821917808219178,0.1568627450980392
Sorafenib,0.10810810810810811,0.08571428571428572,0.08,0.0625,0.12643678160919541,0.15625,0.2345679012345679,0.1792452830188679,0.1595744680851064,0.1958762886597938,0.21978021978021978,1.0,0.0975609756097561,0.0967741935483871,0.037037037037037035,0.07352941176470588,0.0967741935483871,0.07017543859649122,0.08759124087591241,0.11224489795918367
Paclitaxel,0.08490566037735849,0.0380952380952381,0.05555555555555555,0.08602150537634409,0.06504065040650407,0.06666666666666667,0.08130081300813008,0.09722222222222222,0.109375,0.13740458015267176,0.11627906976744186,0.0975609756097561,1.0,0.7789473684210526,0.0,0.10416666666666667,0.10655737704918032,0.15671641791044777,0.13043478260869565,0.12698412698412698
